Account;UAB;From;01/01/2022
Customer;Universitat Aut˜noma de Barcelona;To;30/11/2022
Location;Universitat Aut˜noma de Barcelona;;
;;;
;;;
;;;
;;L-Bibl.Humanitats (General) [kWh];
;TOTAL;357.008,55;
;AVERAGE;44,54;
;MEDIAN;29,78;
;MAX;223,60;
;MIN;3,61;
;;;
;;;
Date;Hour;L-Bibl.Humanitats (General) [kWh];
01/01/2022;00:00;5,35;
01/01/2022;01:00;4,64;
01/01/2022;02:00;4,87;
01/01/2022;03:00;5,43;
01/01/2022;04:00;4,81;
01/01/2022;05:00;4,85;
01/01/2022;06:00;4,83;
01/01/2022;07:00;4,76;
01/01/2022;08:00;4,81;
01/01/2022;09:00;5,04;
01/01/2022;10:00;4,50;
01/01/2022;11:00;5,35;
01/01/2022;12:00;4,70;
01/01/2022;13:00;4,93;
01/01/2022;14:00;4,74;
01/01/2022;15:00;5,63;
01/01/2022;16:00;5,19;
01/01/2022;17:00;4,94;
01/01/2022;18:00;4,62;
01/01/2022;19:00;5,20;
01/01/2022;20:00;4,93;
01/01/2022;21:00;4,66;
01/01/2022;22:00;5,17;
01/01/2022;23:00;5,21;
02/01/2022;00:00;4,70;
02/01/2022;01:00;4,66;
02/01/2022;02:00;4,93;
02/01/2022;03:00;5,28;
02/01/2022;04:00;5,34;
02/01/2022;05:00;4,68;
02/01/2022;06:00;5,21;
02/01/2022;07:00;4,75;
02/01/2022;08:00;4,91;
02/01/2022;09:00;4,91;
02/01/2022;10:00;5,18;
02/01/2022;11:00;4,87;
02/01/2022;12:00;4,70;
02/01/2022;13:00;4,92;
02/01/2022;14:00;4,94;
02/01/2022;15:00;5,24;
02/01/2022;16:00;5,59;
02/01/2022;17:00;4,72;
02/01/2022;18:00;4,90;
02/01/2022;19:00;4,89;
02/01/2022;20:00;4,50;
02/01/2022;21:00;5,39;
02/01/2022;22:00;4,80;
02/01/2022;23:00;4,65;
03/01/2022;00:00;5,12;
03/01/2022;01:00;4,73;
03/01/2022;02:00;5,09;
03/01/2022;03:00;4,66;
03/01/2022;04:00;5,53;
03/01/2022;05:00;4,67;
03/01/2022;06:00;4,97;
03/01/2022;07:00;4,56;
03/01/2022;08:00;5,23;
03/01/2022;09:00;5,00;
03/01/2022;10:00;4,60;
03/01/2022;11:00;4,81;
03/01/2022;12:00;4,99;
03/01/2022;13:00;5,08;
03/01/2022;14:00;4,72;
03/01/2022;15:00;4,92;
03/01/2022;16:00;5,34;
03/01/2022;17:00;5,19;
03/01/2022;18:00;4,69;
03/01/2022;19:00;5,21;
03/01/2022;20:00;5,14;
03/01/2022;21:00;4,75;
03/01/2022;22:00;5,05;
03/01/2022;23:00;4,72;
04/01/2022;00:00;4,78;
04/01/2022;01:00;4,79;
04/01/2022;02:00;4,82;
04/01/2022;03:00;4,91;
04/01/2022;04:00;5,64;
04/01/2022;05:00;4,69;
04/01/2022;06:00;4,93;
04/01/2022;07:00;4,70;
04/01/2022;08:00;5,39;
04/01/2022;09:00;4,74;
04/01/2022;10:00;4,93;
04/01/2022;11:00;4,74;
04/01/2022;12:00;5,12;
04/01/2022;13:00;4,72;
04/01/2022;14:00;5,31;
04/01/2022;15:00;5,64;
04/01/2022;16:00;4,97;
04/01/2022;17:00;4,91;
04/01/2022;18:00;4,50;
04/01/2022;19:00;5,32;
04/01/2022;20:00;5,15;
04/01/2022;21:00;4,95;
04/01/2022;22:00;4,92;
04/01/2022;23:00;5,22;
05/01/2022;00:00;4,82;
05/01/2022;01:00;4,93;
05/01/2022;02:00;4,74;
05/01/2022;03:00;5,65;
05/01/2022;04:00;4,71;
05/01/2022;05:00;5,07;
05/01/2022;06:00;4,85;
05/01/2022;07:00;37,44;
05/01/2022;08:00;59,68;
05/01/2022;09:00;61,54;
05/01/2022;10:00;62,16;
05/01/2022;11:00;54,68;
05/01/2022;12:00;54,24;
05/01/2022;13:00;56,42;
05/01/2022;14:00;57,85;
05/01/2022;15:00;58,47;
05/01/2022;16:00;57,49;
05/01/2022;17:00;58,81;
05/01/2022;18:00;57,79;
05/01/2022;19:00;57,94;
05/01/2022;20:00;41,36;
05/01/2022;21:00;57,01;
05/01/2022;22:00;57,77;
05/01/2022;23:00;57,08;
06/01/2022;00:00;57,42;
06/01/2022;01:00;57,33;
06/01/2022;02:00;57,75;
06/01/2022;03:00;58,21;
06/01/2022;04:00;58,36;
06/01/2022;05:00;57,99;
06/01/2022;06:00;57,83;
06/01/2022;07:00;57,81;
06/01/2022;08:00;58,26;
06/01/2022;09:00;57,57;
06/01/2022;10:00;58,22;
06/01/2022;11:00;57,02;
06/01/2022;12:00;57,70;
06/01/2022;13:00;56,54;
06/01/2022;14:00;54,44;
06/01/2022;15:00;54,86;
06/01/2022;16:00;55,55;
06/01/2022;17:00;54,99;
06/01/2022;18:00;55,84;
06/01/2022;19:00;55,17;
06/01/2022;20:00;55,39;
06/01/2022;21:00;55,94;
06/01/2022;22:00;55,43;
06/01/2022;23:00;54,89;
07/01/2022;00:00;54,65;
07/01/2022;01:00;55,75;
07/01/2022;02:00;55,85;
07/01/2022;03:00;56,37;
07/01/2022;04:00;76,65;
07/01/2022;05:00;80,14;
07/01/2022;06:00;82,59;
07/01/2022;07:00;82,91;
07/01/2022;08:00;87,42;
07/01/2022;09:00;89,16;
07/01/2022;10:00;87,13;
07/01/2022;11:00;87,80;
07/01/2022;12:00;89,41;
07/01/2022;13:00;89,54;
07/01/2022;14:00;90,73;
07/01/2022;15:00;87,18;
07/01/2022;16:00;85,54;
07/01/2022;17:00;86,12;
07/01/2022;18:00;86,99;
07/01/2022;19:00;82,62;
07/01/2022;20:00;50,70;
07/01/2022;21:00;10,18;
07/01/2022;22:00;5,64;
07/01/2022;23:00;5,19;
08/01/2022;00:00;4,96;
08/01/2022;01:00;5,58;
08/01/2022;02:00;5,20;
08/01/2022;03:00;5,41;
08/01/2022;04:00;5,12;
08/01/2022;05:00;5,48;
08/01/2022;06:00;4,96;
08/01/2022;07:00;5,24;
08/01/2022;08:00;5,55;
08/01/2022;09:00;5,05;
08/01/2022;10:00;5,10;
08/01/2022;11:00;5,94;
08/01/2022;12:00;5,68;
08/01/2022;13:00;5,28;
08/01/2022;14:00;4,96;
08/01/2022;15:00;5,46;
08/01/2022;16:00;5,03;
08/01/2022;17:00;4,99;
08/01/2022;18:00;4,91;
08/01/2022;19:00;4,91;
08/01/2022;20:00;5,25;
08/01/2022;21:00;4,98;
08/01/2022;22:00;5,16;
08/01/2022;23:00;5,15;
09/01/2022;00:00;5,70;
09/01/2022;01:00;5,30;
09/01/2022;02:00;5,21;
09/01/2022;03:00;4,91;
09/01/2022;04:00;5,13;
09/01/2022;05:00;4,91;
09/01/2022;06:00;4,97;
09/01/2022;07:00;5,06;
09/01/2022;08:00;5,21;
09/01/2022;09:00;4,79;
09/01/2022;10:00;5,50;
09/01/2022;11:00;5,00;
09/01/2022;12:00;5,37;
09/01/2022;13:00;5,57;
