Date;Hour;Q-Enginyeria (Cos Central) [kWh] [Q-Enginyeria];Q-Enginyeria (Espina 4) [kWh] [Q-Enginyeria];Q-Enginyeria (Química) [kWh] [Q-Enginyeria]
01/01/2022;00:00;26,55;1,63;71,38
01/01/2022;01:00;26,78;1,64;74,79
01/01/2022;02:00;27,08;1,63;70,65
01/01/2022;03:00;26,79;1,65;69,75
01/01/2022;04:00;27,20;1,64;69,62
01/01/2022;05:00;27,03;1,65;71,24
01/01/2022;06:00;27,43;1,61;72,71
01/01/2022;07:00;26,48;1,64;72,43
01/01/2022;08:00;25,13;1,50;70,70
01/01/2022;09:00;25,91;1,52;72,10
01/01/2022;10:00;25,12;1,51;72,30
01/01/2022;11:00;26,07;1,52;75,00
01/01/2022;12:00;26,50;1,48;78,65
01/01/2022;13:00;25,65;1,48;80,85
01/01/2022;14:00;25,58;1,50;81,75
01/01/2022;15:00;26,48;1,48;83,65
01/01/2022;16:00;26,16;1,55;81,38
01/01/2022;17:00;26,57;1,55;78,81
01/01/2022;18:00;27,57;1,64;78,81
01/01/2022;19:00;27,88;1,66;75,80
01/01/2022;20:00;27,76;1,63;75,60
01/01/2022;21:00;27,33;1,65;75,00
01/01/2022;22:00;28,27;1,68;72,60
01/01/2022;23:00;27,30;1,61;72,29
02/01/2022;00:00;27,05;1,63;71,29
02/01/2022;01:00;27,55;1,64;70,76
02/01/2022;02:00;27,05;1,65;71,14
02/01/2022;03:00;27,68;1,63;68,62
02/01/2022;04:00;27,03;1,63;70,00
02/01/2022;05:00;27,10;1,63;69,33
02/01/2022;06:00;27,85;1,63;70,43
02/01/2022;07:00;27,08;1,62;71,34
02/01/2022;08:00;25,50;1,59;69,85
02/01/2022;09:00;25,57;1,46;68,85
02/01/2022;10:00;25,55;1,50;69,60
02/01/2022;11:00;25,50;1,48;73,10
02/01/2022;12:00;25,68;1,48;72,75
02/01/2022;13:00;26,48;1,56;78,22
02/01/2022;14:00;26,05;1,49;76,62
02/01/2022;15:00;26,18;1,49;74,05
02/01/2022;16:00;26,24;1,48;75,76
02/01/2022;17:00;26,18;1,59;75,65
02/01/2022;18:00;27,85;1,66;74,85
02/01/2022;19:00;27,53;1,63;74,90
02/01/2022;20:00;27,03;1,61;74,65
02/01/2022;21:00;27,53;1,63;72,48
02/01/2022;22:00;27,23;1,63;76,73
02/01/2022;23:00;28,43;1,63;70,85
03/01/2022;00:00;27,24;1,65;72,15
03/01/2022;01:00;27,05;1,63;71,55
03/01/2022;02:00;27,54;1,63;70,95
03/01/2022;03:00;37,70;1,63;70,25
03/01/2022;04:00;45,72;1,64;69,25
03/01/2022;05:00;44,33;1,62;69,35
03/01/2022;06:00;45,00;1,62;70,10
03/01/2022;07:00;31,50;1,69;71,97
03/01/2022;08:00;30,48;1,54;71,19
03/01/2022;09:00;31,52;1,57;72,39
03/01/2022;10:00;33,40;1,56;76,75
03/01/2022;11:00;33,45;1,58;78,75
03/01/2022;12:00;33,45;1,56;78,25
03/01/2022;13:00;32,45;1,54;82,40
03/01/2022;14:00;33,45;1,59;79,60
03/01/2022;15:00;31,28;1,53;79,60
03/01/2022;16:00;30,23;1,56;83,92
03/01/2022;17:00;29,85;1,62;81,62
03/01/2022;18:00;31,95;1,72;80,10
03/01/2022;19:00;32,18;1,67;78,96
03/01/2022;20:00;31,33;1,71;77,05
03/01/2022;21:00;29,93;1,69;74,95
03/01/2022;22:00;27,74;1,65;75,05
03/01/2022;23:00;27,53;1,63;72,75
04/01/2022;00:00;27,05;1,64;73,85
04/01/2022;01:00;27,15;1,60;73,67
04/01/2022;02:00;27,45;1,64;71,38
04/01/2022;03:00;27,01;1,63;71,90
04/01/2022;04:00;27,10;1,65;70,95
04/01/2022;05:00;37,55;1,63;72,45
04/01/2022;06:00;46,20;1,61;72,05
04/01/2022;07:00;39,15;1,67;83,95
04/01/2022;08:00;29,23;1,58;76,55
04/01/2022;09:00;31,23;1,53;76,95
04/01/2022;10:00;31,95;1,54;80,78
04/01/2022;11:00;32,80;1,57;82,81
04/01/2022;12:00;33,10;1,54;84,71
04/01/2022;13:00;33,25;1,59;88,50
04/01/2022;14:00;32,65;1,54;84,60
04/01/2022;15:00;31,45;1,58;86,55
04/01/2022;16:00;30,74;1,59;85,55
04/01/2022;17:00;30,98;1,62;87,30
04/01/2022;18:00;31,79;1,71;82,10
04/01/2022;19:00;31,67;1,68;84,30
04/01/2022;20:00;30,98;1,70;79,90
04/01/2022;21:00;29,73;1,66;78,05
04/01/2022;22:00;27,93;1,65;77,72
04/01/2022;23:00;28,20;1,63;74,29
05/01/2022;00:00;28,45;1,66;74,86
05/01/2022;01:00;28,00;1,62;76,49
05/01/2022;02:00;27,55;1,61;74,55
05/01/2022;03:00;28,02;1,65;74,35
05/01/2022;04:00;28,00;1,66;74,15
05/01/2022;05:00;66,73;5,78;75,15
05/01/2022;06:00;86,40;7,89;72,80
05/01/2022;07:00;42,75;1,89;78,20
05/01/2022;08:00;36,23;1,70;73,95
05/01/2022;09:00;55,83;3,74;82,65
05/01/2022;10:00;121,20;9,17;110,19
05/01/2022;11:00;120,65;8,93;112,96
05/01/2022;12:00;120,84;8,97;114,05
05/01/2022;13:00;122,68;9,03;118,80
05/01/2022;14:00;120,68;8,95;117,20
05/01/2022;15:00;118,73;8,98;113,55
05/01/2022;16:00;119,18;8,99;115,11
05/01/2022;17:00;119,28;9,07;111,14
05/01/2022;18:00;121,63;9,20;110,52
05/01/2022;19:00;121,08;9,21;112,88
05/01/2022;20:00;117,73;9,19;108,98
05/01/2022;21:00;112,60;9,23;108,62
05/01/2022;22:00;112,59;9,22;108,55
05/01/2022;23:00;110,29;9,16;105,65
06/01/2022;00:00;110,71;9,13;105,75
06/01/2022;01:00;110,21;9,16;105,25
06/01/2022;02:00;110,63;9,12;103,55
06/01/2022;03:00;110,95;9,12;103,30
06/01/2022;04:00;112,69;9,20;102,35
06/01/2022;05:00;115,10;9,13;100,10
06/01/2022;06:00;120,02;9,21;103,20
06/01/2022;07:00;119,33;9,23;105,30
06/01/2022;08:00;118,80;9,11;104,24
06/01/2022;09:00;118,30;9,10;101,43
06/01/2022;10:00;118,20;9,09;106,53
06/01/2022;11:00;118,45;9,08;105,55
06/01/2022;12:00;118,36;9,19;109,65
06/01/2022;13:00;118,55;9,11;111,60
06/01/2022;14:00;118,88;9,16;112,30
06/01/2022;15:00;118,76;9,19;112,10
06/01/2022;16:00;118,00;9,16;110,89
06/01/2022;17:00;118,13;9,14;111,29
06/01/2022;18:00;121,68;9,32;109,81
06/01/2022;19:00;121,93;9,31;110,24
06/01/2022;20:00;117,58;9,30;109,24
06/01/2022;21:00;112,08;9,32;107,24
06/01/2022;22:00;111,13;9,26;108,50
06/01/2022;23:00;113,00;9,36;105,90
07/01/2022;00:00;111,10;9,25;103,00
07/01/2022;01:00;111,60;9,25;103,10
07/01/2022;02:00;110,60;9,26;102,35
07/01/2022;03:00;110,53;9,12;99,55
07/01/2022;04:00;115,79;9,45;101,35
