Data inicial,Hora inicial,Data final,Hora final,Total hores,Espai,Estudi,Activitat,Alumnes matriculats,Modalitat docencia,Observacions
01/02/2023,08:00,01/02/2023,17:00,9,QC/0011,,600-12 instal�laci� videowall,0, , 
01/02/2023,09:00,01/02/2023,12:00,3,Q3/1007,,958-03 102773 Fonaments de la tecnologia de la informaci�,0, , 
01/02/2023,09:00,01/02/2023,12:00,3,Q3/1003,,958-03 102773 Fonaments de tecnologia de la informaci�.,0, , 
01/02/2023,09:00,01/02/2023,15:00,6,Q4/0011,,951-03 102401 Ampliaci� d'operacions de separaci�,0, , 
01/02/2023,10:30,01/02/2023,13:00,"2,5",Q4/1005,,1497-20 Revisi� d'ex�mens,0, , 
01/02/2023,11:00,01/02/2023,13:00,2,QC/0029,,470-01 Consell de Departament Jordi Carrabina,0, , 
01/02/2023,11:30,01/02/2023,13:30,2,QC/3115.1,,2634-01 Reuni� grup de recerca Xavier Font,0, , 
01/02/2023,12:00,01/02/2023,15:00,3,Q1/1003,,1365-03 103799 Fonaments d'inform�tica,0, , 
01/02/2023,12:00,01/02/2023,15:00,3,Q3/1007,,958-03 102774 Estructura de computadors,0, , 
01/02/2023,12:00,01/02/2023,15:00,3,Q1/1011,,1365-03 103799 Fonaments d'inform�tica,0, , 
01/02/2023,12:00,01/02/2023,15:00,3,Q1/1007,,1365-03 103799 Fonaments d'inform�tica,0, , 
01/02/2023,12:00,01/02/2023,15:00,3,Q2/1013,,958-03 102774 Estructura de computadors,0, , 
01/02/2023,12:00,01/02/2023,15:00,3,Q3/1011,,958-03 102774 Estructura de computadors,0, , 
01/02/2023,12:00,01/02/2023,15:00,3,Q4/0007,,1394-03 104348 Descrip. probabilistiques i estad�stica,0, , 
01/02/2023,12:00,01/02/2023,15:00,3,Q3/1003,,958-03 102774 Estructura de computadors,0, , 
01/02/2023,15:00,01/02/2023,16:00,1,QC/0029,,Revisi� Procesos SEGIQ,0, , 
01/02/2023,15:00,01/02/2023,18:00,3,Q4/1003,,1268-20 TAV (MEUBA),0, , 
01/02/2023,15:00,01/02/2023,18:00,3,Q4/1005,,1268- 20 BS (MUEBA),0, , 
01/02/2023,15:00,01/02/2023,19:00,4,Q4/0003,,958-03 102758 Test i qualitat del software,0, , 
01/02/2023,15:00,01/02/2023,19:00,4,Q4/1013,,1467-03 106559 Ethics,0, , 
01/02/2023,15:00,01/02/2023,19:00,4,Q4/0007,,958-03 102758 Test i qualitat del software,0, , 
01/02/2023,17:00,01/02/2023,18:00,1,QC/0019,,1461-20 Tutoria TFG Enginyeria Qu�mica,0, , 
01/02/2023,17:00,01/02/2023,19:00,2,QC/0011,,1395-18 Distribuci� material Barcelonada'23 (WMobile City Proj,0, ,Distribuci� material Barcelonada'23 (World Mobile City Project)
01/02/2023,17:00,01/02/2023,19:00,2,Q4/0011,,1395-03 104533 Geod�sia i sistemes de localitzaci�,0, , 
02/02/2023,08:00,02/02/2023,19:00,11,QC/0011,,600-12 instal�laci� videowall,0, , 
02/02/2023,08:00,02/02/2023,21:00,13,QC/0015,,115-18 Ritsi Laia vilardell,0, , 
02/02/2023,08:00,02/02/2023,21:00,13,QC/0019,,115-20 Ritsi- Consell d'Estudiants Laia Vilardell (consigna),0, , 
02/02/2023,09:00,02/02/2023,12:00,3,Q1/1011,,1395-03 104523 Fonaments d'electr�nica,0, , 
02/02/2023,09:00,02/02/2023,12:00,3,Q1/1003,,958-03 102776 Gesti� i administraci� de xarxes,0, , 
02/02/2023,09:00,02/02/2023,14:30,"5,5",QC/3115.1,,2634-01 Reuni� grup de recerca Marc Garcia T,0, , 
02/02/2023,09:00,02/02/2023,15:00,6,Q4/0003,,951-03 102404 Cin�tica qu�mica,0, , 
02/02/2023,09:00,02/02/2023,15:00,6,Q4/0007,,951-03 102404 Cin�tica qu�mica,0, , 
02/02/2023,09:00,02/02/2023,20:30,"11,5",Q1/0003,,600-18 RITSI 2023 -Laia Vilardell - Consell d'Estudiants,0, , 
