name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cerdanyola del valles,2022-01-01,20.9,3.2,9.5,20.9,2.9,9.1,5.7,80,0,0,0,,0,0,16.9,8.8,291.5,1026.5,0.4,9.6,38.7,1.3,1,,2022-01-01T08:17:59,2022-01-01T17:32:09,0.95,Clear,Clear conditions throughout the day.,clear-day,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-02,15,2.4,8.5,15,2.4,8.5,6.4,87.8,0,0,0,,0,0,17,8.7,17.1,1027.3,31.7,7,85.8,3.5,2,,2022-01-02T08:18:04,2022-01-02T17:33:01,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-03,16.9,4.8,10.4,16.9,4.8,10.3,7.6,84.3,0,0,0,,0,0,22.7,11.8,250.3,1023.8,23.3,6.6,65.9,2.5,1,,2022-01-03T08:18:07,2022-01-03T17:33:54,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-04,20.6,8.7,14,20.6,7.7,13.8,6.4,62.3,0,0,0,,0,0,26.9,22.7,253.4,1010.9,2.3,10,52.5,2.1,2,,2022-01-04T08:18:08,2022-01-04T17:34:49,0.06,Clear,Clear conditions throughout the day.,clear-day,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-05,12.2,3,9,12.2,1.6,8.2,5.6,79.4,4.877,100,29.17,rain,0,0,42,13.4,278.6,1008.7,46.2,10,80.2,3,2,,2022-01-05T08:18:06,2022-01-05T17:35:46,0.09,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-06,11.1,-0.8,4.2,11.1,-3.7,2.5,-3.1,62,0.015,100,4.17,rain,0,0,25.2,21.1,291.4,1016.3,0.1,10.5,42.8,1.6,1,,2022-01-06T08:18:01,2022-01-06T17:36:44,0.12,Rain,Clear conditions throughout the day with early morning rain.,rain,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-07,11.1,0,4.5,11.1,-1.9,3.8,-2.1,64.3,0,0,0,,0,0,20.5,9.4,309.8,1022.2,0.2,10.5,47.7,1.8,1,,2022-01-07T08:17:55,2022-01-07T17:37:43,0.15,Clear,Clear conditions throughout the day.,clear-day,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-08,13,3,7.8,13,0.9,7,1.2,63.3,0,0,0,,0,0,24.3,22.9,281,1021,6.2,10.5,90.8,3.3,2,,2022-01-08T08:17:46,2022-01-08T17:38:44,0.19,Clear,Clear conditions throughout the day.,clear-day,"D1298,08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-09,15,8,10.6,15,5.7,9.7,3.5,61.8,0,0,0,,0,0,41.8,32.4,280.8,1013.1,7.7,10.5,82.3,2.8,2,,2022-01-09T08:17:35,2022-01-09T17:39:45,0.25,Clear,Clear conditions throughout the day.,clear-day,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-10,9.4,6.8,8.6,9.4,5.4,8.2,6.6,87.5,0.056,100,12.5,rain,0,0,35.5,9.6,353.9,1014,83.3,9,13.5,0.7,0,10,2022-01-10T08:17:21,2022-01-10T17:40:49,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-11,15,3.7,8.2,15,1.2,7.8,5.2,83.2,0,0,0,,0,0,31.1,14.6,289.5,1022.3,21.6,9.2,25.2,2,1,10,2022-01-11T08:17:05,2022-01-11T17:41:53,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-12,12.1,3.8,8.1,12.1,1.5,7.7,3.9,75.7,0,0,0,,0,0,28.6,14.7,110.7,1028.8,71.2,10.2,45,3.3,1,10,2022-01-12T08:16:47,2022-01-12T17:42:58,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2022-01-13,13,-0.1,4.7,13,-2.2,3.8,0.6,77.3,0,0,0,,0,0,17.4,10.8,310.6,1033.7,0.2,10.1,30.4,2.2,2,10,2022-01-13T08:16:27,2022-01-13T17:44:05,0.35,Clear,Clear conditions throughout the day.,clear-day,"08186099999,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
