,Date,Hour,L-Bibl.Humanitats (General) [kWh]
0,01/01/2022,00:00,"5,35"
1,01/01/2022,01:00,"4,64"
2,01/01/2022,02:00,"4,87"
3,01/01/2022,03:00,"5,43"
4,01/01/2022,04:00,"4,81"
5,01/01/2022,05:00,"4,85"
6,01/01/2022,06:00,"4,83"
7,01/01/2022,07:00,"4,76"
8,01/01/2022,08:00,"4,81"
9,01/01/2022,09:00,"5,04"
10,01/01/2022,10:00,"4,50"
11,01/01/2022,11:00,"5,35"
12,01/01/2022,12:00,"4,70"
13,01/01/2022,13:00,"4,93"
14,01/01/2022,14:00,"4,74"
15,01/01/2022,15:00,"5,63"
16,01/01/2022,16:00,"5,19"
17,01/01/2022,17:00,"4,94"
18,01/01/2022,18:00,"4,62"
19,01/01/2022,19:00,"5,20"
20,01/01/2022,20:00,"4,93"
21,01/01/2022,21:00,"4,66"
22,01/01/2022,22:00,"5,17"
23,01/01/2022,23:00,"5,21"
24,02/01/2022,00:00,"4,70"
25,02/01/2022,01:00,"4,66"
26,02/01/2022,02:00,"4,93"
27,02/01/2022,03:00,"5,28"
28,02/01/2022,04:00,"5,34"
29,02/01/2022,05:00,"4,68"
30,02/01/2022,06:00,"5,21"
31,02/01/2022,07:00,"4,75"
32,02/01/2022,08:00,"4,91"
33,02/01/2022,09:00,"4,91"
34,02/01/2022,10:00,"5,18"
35,02/01/2022,11:00,"4,87"
36,02/01/2022,12:00,"4,70"
37,02/01/2022,13:00,"4,92"
38,02/01/2022,14:00,"4,94"
39,02/01/2022,15:00,"5,24"
40,02/01/2022,16:00,"5,59"
41,02/01/2022,17:00,"4,72"
42,02/01/2022,18:00,"4,90"
43,02/01/2022,19:00,"4,89"
44,02/01/2022,20:00,"4,50"
45,02/01/2022,21:00,"5,39"
46,02/01/2022,22:00,"4,80"
47,02/01/2022,23:00,"4,65"
48,03/01/2022,00:00,"5,12"
49,03/01/2022,01:00,"4,73"
50,03/01/2022,02:00,"5,09"
51,03/01/2022,03:00,"4,66"
52,03/01/2022,04:00,"5,53"
53,03/01/2022,05:00,"4,67"
54,03/01/2022,06:00,"4,97"
55,03/01/2022,07:00,"4,56"
56,03/01/2022,08:00,"5,23"
57,03/01/2022,09:00,"5,00"
58,03/01/2022,10:00,"4,60"
59,03/01/2022,11:00,"4,81"
60,03/01/2022,12:00,"4,99"
61,03/01/2022,13:00,"5,08"
62,03/01/2022,14:00,"4,72"
63,03/01/2022,15:00,"4,92"
64,03/01/2022,16:00,"5,34"
65,03/01/2022,17:00,"5,19"
66,03/01/2022,18:00,"4,69"
67,03/01/2022,19:00,"5,21"
68,03/01/2022,20:00,"5,14"
69,03/01/2022,21:00,"4,75"
70,03/01/2022,22:00,"5,05"
71,03/01/2022,23:00,"4,72"
72,04/01/2022,00:00,"4,78"
73,04/01/2022,01:00,"4,79"
74,04/01/2022,02:00,"4,82"
75,04/01/2022,03:00,"4,91"
76,04/01/2022,04:00,"5,64"
77,04/01/2022,05:00,"4,69"
78,04/01/2022,06:00,"4,93"
79,04/01/2022,07:00,"4,70"
80,04/01/2022,08:00,"5,39"
81,04/01/2022,09:00,"4,74"
82,04/01/2022,10:00,"4,93"
83,04/01/2022,11:00,"4,74"
84,04/01/2022,12:00,"5,12"
85,04/01/2022,13:00,"4,72"
86,04/01/2022,14:00,"5,31"
87,04/01/2022,15:00,"5,64"
88,04/01/2022,16:00,"4,97"
89,04/01/2022,17:00,"4,91"
90,04/01/2022,18:00,"4,50"
91,04/01/2022,19:00,"5,32"
92,04/01/2022,20:00,"5,15"
93,04/01/2022,21:00,"4,95"
94,04/01/2022,22:00,"4,92"
95,04/01/2022,23:00,"5,22"
96,05/01/2022,00:00,"4,82"
97,05/01/2022,01:00,"4,93"
98,05/01/2022,02:00,"4,74"
99,05/01/2022,03:00,"5,65"
100,05/01/2022,04:00,"4,71"
101,05/01/2022,05:00,"5,07"
102,05/01/2022,06:00,"4,85"
103,05/01/2022,07:00,"37,44"
104,05/01/2022,08:00,"59,68"
105,05/01/2022,09:00,"61,54"
106,05/01/2022,10:00,"62,16"
107,05/01/2022,11:00,"54,68"
108,05/01/2022,12:00,"54,24"
109,05/01/2022,13:00,"56,42"
110,05/01/2022,14:00,"57,85"
111,05/01/2022,15:00,"58,47"
112,05/01/2022,16:00,"57,49"
113,05/01/2022,17:00,"58,81"
114,05/01/2022,18:00,"57,79"
115,05/01/2022,19:00,"57,94"
116,05/01/2022,20:00,"41,36"
117,05/01/2022,21:00,"57,01"
118,05/01/2022,22:00,"57,77"
119,05/01/2022,23:00,"57,08"
120,06/01/2022,00:00,"57,42"
121,06/01/2022,01:00,"57,33"
122,06/01/2022,02:00,"57,75"
123,06/01/2022,03:00,"58,21"
124,06/01/2022,04:00,"58,36"
125,06/01/2022,05:00,"57,99"
126,06/01/2022,06:00,"57,83"
127,06/01/2022,07:00,"57,81"
128,06/01/2022,08:00,"58,26"
129,06/01/2022,09:00,"57,57"
130,06/01/2022,10:00,"58,22"
131,06/01/2022,11:00,"57,02"
132,06/01/2022,12:00,"57,70"
133,06/01/2022,13:00,"56,54"
134,06/01/2022,14:00,"54,44"
135,06/01/2022,15:00,"54,86"
136,06/01/2022,16:00,"55,55"
137,06/01/2022,17:00,"54,99"
138,06/01/2022,18:00,"55,84"
139,06/01/2022,19:00,"55,17"
140,06/01/2022,20:00,"55,39"
141,06/01/2022,21:00,"55,94"
142,06/01/2022,22:00,"55,43"
143,06/01/2022,23:00,"54,89"
144,07/01/2022,00:00,"54,65"
145,07/01/2022,01:00,"55,75"
146,07/01/2022,02:00,"55,85"
147,07/01/2022,03:00,"56,37"
148,07/01/2022,04:00,"76,65"
149,07/01/2022,05:00,"80,14"
150,07/01/2022,06:00,"82,59"
151,07/01/2022,07:00,"82,91"
152,07/01/2022,08:00,"87,42"
153,07/01/2022,09:00,"89,16"
154,07/01/2022,10:00,"87,13"
155,07/01/2022,11:00,"87,80"
156,07/01/2022,12:00,"89,41"
157,07/01/2022,13:00,"89,54"
158,07/01/2022,14:00,"90,73"
159,07/01/2022,15:00,"87,18"
160,07/01/2022,16:00,"85,54"
161,07/01/2022,17:00,"86,12"
162,07/01/2022,18:00,"86,99"
163,07/01/2022,19:00,"82,62"
164,07/01/2022,20:00,"50,70"
165,07/01/2022,21:00,"10,18"
166,07/01/2022,22:00,"5,64"
167,07/01/2022,23:00,"5,19"
168,08/01/2022,00:00,"4,96"
169,08/01/2022,01:00,"5,58"
170,08/01/2022,02:00,"5,20"
171,08/01/2022,03:00,"5,41"
172,08/01/2022,04:00,"5,12"
173,08/01/2022,05:00,"5,48"
174,08/01/2022,06:00,"4,96"
175,08/01/2022,07:00,"5,24"
176,08/01/2022,08:00,"5,55"
177,08/01/2022,09:00,"5,05"
178,08/01/2022,10:00,"5,10"
179,08/01/2022,11:00,"5,94"
180,08/01/2022,12:00,"5,68"
181,08/01/2022,13:00,"5,28"
182,08/01/2022,14:00,"4,96"
183,08/01/2022,15:00,"5,46"
184,08/01/2022,16:00,"5,03"
185,08/01/2022,17:00,"4,99"
186,08/01/2022,18:00,"4,91"
187,08/01/2022,19:00,"4,91"
188,08/01/2022,20:00,"5,25"
189,08/01/2022,21:00,"4,98"
190,08/01/2022,22:00,"5,16"
191,08/01/2022,23:00,"5,15"
192,09/01/2022,00:00,"5,70"
193,09/01/2022,01:00,"5,30"
194,09/01/2022,02:00,"5,21"
195,09/01/2022,03:00,"4,91"
196,09/01/2022,04:00,"5,13"
197,09/01/2022,05:00,"4,91"
198,09/01/2022,06:00,"4,97"
199,09/01/2022,07:00,"5,06"
200,09/01/2022,08:00,"5,21"
201,09/01/2022,09:00,"4,79"
202,09/01/2022,10:00,"5,50"
203,09/01/2022,11:00,"5,00"
204,09/01/2022,12:00,"5,37"
205,09/01/2022,13:00,"5,57"
206,09/01/2022,14:00,"5,18"
207,09/01/2022,15:00,"5,04"
208,09/01/2022,16:00,"5,22"
209,09/01/2022,17:00,"4,92"
210,09/01/2022,18:00,"5,32"
211,09/01/2022,19:00,"7,30"
212,09/01/2022,20:00,"56,92"
213,09/01/2022,21:00,"57,44"
214,09/01/2022,22:00,"57,62"
215,09/01/2022,23:00,"56,54"
216,10/01/2022,00:00,"57,01"
217,10/01/2022,01:00,"57,99"
218,10/01/2022,02:00,"58,20"
219,10/01/2022,03:00,"58,56"
220,10/01/2022,04:00,"70,80"
221,10/01/2022,05:00,"80,41"
222,10/01/2022,06:00,"84,14"
223,10/01/2022,07:00,"86,67"
224,10/01/2022,08:00,"92,50"
225,10/01/2022,09:00,"96,88"
226,10/01/2022,10:00,"96,53"
227,10/01/2022,11:00,"96,17"
228,10/01/2022,12:00,"98,07"
229,10/01/2022,13:00,"93,47"
230,10/01/2022,14:00,"92,54"
231,10/01/2022,15:00,"89,37"
232,10/01/2022,16:00,"88,42"
233,10/01/2022,17:00,"86,83"
234,10/01/2022,18:00,"85,44"
235,10/01/2022,19:00,"81,77"
236,10/01/2022,20:00,"54,10"
237,10/01/2022,21:00,"25,54"
238,10/01/2022,22:00,"5,56"
239,10/01/2022,23:00,"5,57"
240,11/01/2022,00:00,"5,23"
241,11/01/2022,01:00,"5,45"
242,11/01/2022,02:00,"5,14"
243,11/01/2022,03:00,"5,21"
244,11/01/2022,04:00,"22,70"
245,11/01/2022,05:00,"57,34"
246,11/01/2022,06:00,"81,26"
247,11/01/2022,07:00,"84,48"
248,11/01/2022,08:00,"88,60"
249,11/01/2022,09:00,"92,95"
250,11/01/2022,10:00,"92,50"
251,11/01/2022,11:00,"91,77"
252,11/01/2022,12:00,"92,97"
253,11/01/2022,13:00,"90,61"
254,11/01/2022,14:00,"92,65"
255,11/01/2022,15:00,"92,58"
256,11/01/2022,16:00,"91,44"
257,11/01/2022,17:00,"91,06"
258,11/01/2022,18:00,"90,20"
259,11/01/2022,19:00,"84,38"
260,11/01/2022,20:00,"53,97"
261,11/01/2022,21:00,"12,81"
262,11/01/2022,22:00,"4,97"
263,11/01/2022,23:00,"5,34"
264,12/01/2022,00:00,"4,94"
265,12/01/2022,01:00,"5,70"
266,12/01/2022,02:00,"5,13"
267,12/01/2022,03:00,"5,16"
268,12/01/2022,04:00,"19,31"
269,12/01/2022,05:00,"56,22"
270,12/01/2022,06:00,"80,08"
271,12/01/2022,07:00,"81,21"
272,12/01/2022,08:00,"88,39"
273,12/01/2022,09:00,"94,55"
274,12/01/2022,10:00,"93,45"
275,12/01/2022,11:00,"95,17"
276,12/01/2022,12:00,"93,35"
277,12/01/2022,13:00,"92,39"
278,12/01/2022,14:00,"90,99"
279,12/01/2022,15:00,"90,70"
280,12/01/2022,16:00,"87,83"
281,12/01/2022,17:00,"86,78"
282,12/01/2022,18:00,"85,38"
283,12/01/2022,19:00,"85,05"
284,12/01/2022,20:00,"60,56"
285,12/01/2022,21:00,"20,89"
286,12/01/2022,22:00,"5,91"
287,12/01/2022,23:00,"5,63"
288,13/01/2022,00:00,"6,02"
289,13/01/2022,01:00,"6,34"
290,13/01/2022,02:00,"5,85"
291,13/01/2022,03:00,"5,78"
292,13/01/2022,04:00,"15,80"
293,13/01/2022,05:00,"57,35"
294,13/01/2022,06:00,"82,30"
295,13/01/2022,07:00,"82,56"
296,13/01/2022,08:00,"87,95"
297,13/01/2022,09:00,"93,48"
298,13/01/2022,10:00,"93,35"
299,13/01/2022,11:00,"93,74"
300,13/01/2022,12:00,"91,90"
301,13/01/2022,13:00,"92,52"
302,13/01/2022,14:00,"95,97"
303,13/01/2022,15:00,"93,89"
304,13/01/2022,16:00,"91,15"
305,13/01/2022,17:00,"91,59"
306,13/01/2022,18:00,"92,25"
307,13/01/2022,19:00,"85,09"
308,13/01/2022,20:00,"53,49"
309,13/01/2022,21:00,"22,92"
310,13/01/2022,22:00,"5,97"
311,13/01/2022,23:00,"5,47"
312,14/01/2022,00:00,"5,91"
313,14/01/2022,01:00,"5,64"
314,14/01/2022,02:00,"5,47"
315,14/01/2022,03:00,"5,77"
316,14/01/2022,04:00,"18,29"
317,14/01/2022,05:00,"59,56"
318,14/01/2022,06:00,"85,30"
319,14/01/2022,07:00,"87,11"
320,14/01/2022,08:00,"91,37"
321,14/01/2022,09:00,"94,00"
322,14/01/2022,10:00,"94,76"
323,14/01/2022,11:00,"95,63"
324,14/01/2022,12:00,"93,65"
325,14/01/2022,13:00,"93,47"
326,14/01/2022,14:00,"87,91"
327,14/01/2022,15:00,"84,04"
328,14/01/2022,16:00,"83,20"
329,14/01/2022,17:00,"84,57"
330,14/01/2022,18:00,"84,04"
331,14/01/2022,19:00,"81,71"
332,14/01/2022,20:00,"52,78"
333,14/01/2022,21:00,"14,44"
334,14/01/2022,22:00,"5,50"
335,14/01/2022,23:00,"5,60"
336,15/01/2022,00:00,"5,30"
337,15/01/2022,01:00,"5,57"
338,15/01/2022,02:00,"5,96"
339,15/01/2022,03:00,"5,97"
340,15/01/2022,04:00,"5,40"
341,15/01/2022,05:00,"5,64"
342,15/01/2022,06:00,"5,24"
343,15/01/2022,07:00,"5,61"
344,15/01/2022,08:00,"5,52"
345,15/01/2022,09:00,"6,28"
346,15/01/2022,10:00,"5,70"
347,15/01/2022,11:00,"5,71"
348,15/01/2022,12:00,"5,13"
349,15/01/2022,13:00,"5,76"
350,15/01/2022,14:00,"5,30"
351,15/01/2022,15:00,"5,55"
352,15/01/2022,16:00,"5,34"
353,15/01/2022,17:00,"5,48"
354,15/01/2022,18:00,"5,11"
355,15/01/2022,19:00,"5,45"
356,15/01/2022,20:00,"5,37"
357,15/01/2022,21:00,"5,46"
358,15/01/2022,22:00,"6,38"
359,15/01/2022,23:00,"5,62"
360,16/01/2022,00:00,"5,77"
361,16/01/2022,01:00,"5,74"
362,16/01/2022,02:00,"5,83"
363,16/01/2022,03:00,"5,50"
364,16/01/2022,04:00,"5,87"
365,16/01/2022,05:00,"5,40"
366,16/01/2022,06:00,"5,63"
367,16/01/2022,07:00,"5,70"
368,16/01/2022,08:00,"5,71"
369,16/01/2022,09:00,"5,60"
370,16/01/2022,10:00,"5,60"
371,16/01/2022,11:00,"6,96"
372,16/01/2022,12:00,"5,29"
373,16/01/2022,13:00,"5,54"
374,16/01/2022,14:00,"5,56"
375,16/01/2022,15:00,"5,44"
376,16/01/2022,16:00,"5,71"
377,16/01/2022,17:00,"5,59"
378,16/01/2022,18:00,"5,26"
379,16/01/2022,19:00,"5,61"
380,16/01/2022,20:00,"5,37"
381,16/01/2022,21:00,"5,77"
382,16/01/2022,22:00,"5,90"
383,16/01/2022,23:00,"5,90"
384,17/01/2022,00:00,"6,50"
385,17/01/2022,01:00,"6,44"
386,17/01/2022,02:00,"36,66"
387,17/01/2022,03:00,"57,01"
388,17/01/2022,04:00,"71,44"
389,17/01/2022,05:00,"78,66"
390,17/01/2022,06:00,"82,10"
391,17/01/2022,07:00,"84,56"
392,17/01/2022,08:00,"90,17"
393,17/01/2022,09:00,"94,82"
394,17/01/2022,10:00,"93,01"
395,17/01/2022,11:00,"94,04"
396,17/01/2022,12:00,"92,79"
397,17/01/2022,13:00,"92,68"
398,17/01/2022,14:00,"93,23"
399,17/01/2022,15:00,"91,71"
400,17/01/2022,16:00,"89,79"
401,17/01/2022,17:00,"89,83"
402,17/01/2022,18:00,"89,63"
403,17/01/2022,19:00,"85,85"
404,17/01/2022,20:00,"53,76"
405,17/01/2022,21:00,"23,33"
406,17/01/2022,22:00,"6,50"
407,17/01/2022,23:00,"6,10"
408,18/01/2022,00:00,"5,65"
409,18/01/2022,01:00,"5,65"
410,18/01/2022,02:00,"5,60"
411,18/01/2022,03:00,"5,70"
412,18/01/2022,04:00,"17,50"
413,18/01/2022,05:00,"61,54"
414,18/01/2022,06:00,"84,36"
415,18/01/2022,07:00,"87,29"
416,18/01/2022,08:00,"93,71"
417,18/01/2022,09:00,"93,76"
418,18/01/2022,10:00,"98,84"
419,18/01/2022,11:00,"97,75"
420,18/01/2022,12:00,"95,65"
421,18/01/2022,13:00,"94,42"
422,18/01/2022,14:00,"90,57"
423,18/01/2022,15:00,"89,30"
424,18/01/2022,16:00,"89,07"
425,18/01/2022,17:00,"87,97"
426,18/01/2022,18:00,"88,20"
427,18/01/2022,19:00,"85,16"
428,18/01/2022,20:00,"54,23"
429,18/01/2022,21:00,"16,64"
430,18/01/2022,22:00,"6,09"
431,18/01/2022,23:00,"6,15"
432,19/01/2022,00:00,"5,70"
433,19/01/2022,01:00,"6,70"
434,19/01/2022,02:00,"5,90"
435,19/01/2022,03:00,"6,11"
436,19/01/2022,04:00,"16,99"
437,19/01/2022,05:00,"57,92"
438,19/01/2022,06:00,"81,71"
439,19/01/2022,07:00,"82,61"
440,19/01/2022,08:00,"90,56"
441,19/01/2022,09:00,"93,46"
442,19/01/2022,10:00,"92,85"
443,19/01/2022,11:00,"91,53"
444,19/01/2022,12:00,"92,25"
445,19/01/2022,13:00,"90,79"
446,19/01/2022,14:00,"91,91"
447,19/01/2022,15:00,"90,58"
448,19/01/2022,16:00,"90,29"
449,19/01/2022,17:00,"90,29"
450,19/01/2022,18:00,"90,75"
451,19/01/2022,19:00,"86,68"
452,19/01/2022,20:00,"53,95"
453,19/01/2022,21:00,"17,44"
454,19/01/2022,22:00,"5,10"
455,19/01/2022,23:00,"5,22"
456,20/01/2022,00:00,"5,62"
457,20/01/2022,01:00,"5,18"
458,20/01/2022,02:00,"5,44"
459,20/01/2022,03:00,"6,02"
460,20/01/2022,04:00,"21,41"
461,20/01/2022,05:00,"59,01"
462,20/01/2022,06:00,"84,14"
463,20/01/2022,07:00,"86,44"
464,20/01/2022,08:00,"93,35"
465,20/01/2022,09:00,"95,75"
466,20/01/2022,10:00,"94,13"
467,20/01/2022,11:00,"94,90"
468,20/01/2022,12:00,"94,22"
469,20/01/2022,13:00,"93,32"
470,20/01/2022,14:00,"88,11"
471,20/01/2022,15:00,"85,52"
472,20/01/2022,16:00,"89,87"
473,20/01/2022,17:00,"87,18"
474,20/01/2022,18:00,"87,16"
475,20/01/2022,19:00,"82,35"
476,20/01/2022,20:00,"54,07"
477,20/01/2022,21:00,"17,11"
478,20/01/2022,22:00,"4,63"
479,20/01/2022,23:00,"5,18"
480,21/01/2022,00:00,"5,45"
481,21/01/2022,01:00,"5,61"
482,21/01/2022,02:00,"5,13"
483,21/01/2022,03:00,"5,83"
484,21/01/2022,04:00,"23,38"
485,21/01/2022,05:00,"56,72"
486,21/01/2022,06:00,"79,39"
487,21/01/2022,07:00,"81,30"
488,21/01/2022,08:00,"86,98"
489,21/01/2022,09:00,"89,21"
490,21/01/2022,10:00,"89,46"
491,21/01/2022,11:00,"90,55"
492,21/01/2022,12:00,"90,87"
493,21/01/2022,13:00,"89,41"
494,21/01/2022,14:00,"91,80"
495,21/01/2022,15:00,"88,25"
496,21/01/2022,16:00,"87,42"
497,21/01/2022,17:00,"86,78"
498,21/01/2022,18:00,"87,07"
499,21/01/2022,19:00,"82,97"
500,21/01/2022,20:00,"53,25"
501,21/01/2022,21:00,"10,12"
502,21/01/2022,22:00,"5,93"
503,21/01/2022,23:00,"5,60"
504,22/01/2022,00:00,"5,62"
505,22/01/2022,01:00,"5,70"
506,22/01/2022,02:00,"5,50"
507,22/01/2022,03:00,"6,50"
508,22/01/2022,04:00,"5,64"
509,22/01/2022,05:00,"5,82"
510,22/01/2022,06:00,"5,60"
511,22/01/2022,07:00,"5,51"
512,22/01/2022,08:00,"5,99"
513,22/01/2022,09:00,"6,10"
514,22/01/2022,10:00,"5,71"
515,22/01/2022,11:00,"5,65"
516,22/01/2022,12:00,"5,69"
517,22/01/2022,13:00,"5,33"
518,22/01/2022,14:00,"5,79"
519,22/01/2022,15:00,"5,94"
520,22/01/2022,16:00,"5,70"
521,22/01/2022,17:00,"5,30"
522,22/01/2022,18:00,"5,70"
523,22/01/2022,19:00,"5,38"
524,22/01/2022,20:00,"5,93"
525,22/01/2022,21:00,"5,40"
526,22/01/2022,22:00,"5,90"
527,22/01/2022,23:00,"5,78"
528,23/01/2022,00:00,"5,60"
529,23/01/2022,01:00,"5,53"
530,23/01/2022,02:00,"5,65"
531,23/01/2022,03:00,"5,62"
532,23/01/2022,04:00,"6,31"
533,23/01/2022,05:00,"5,93"
534,23/01/2022,06:00,"5,94"
535,23/01/2022,07:00,"5,91"
536,23/01/2022,08:00,"5,51"
537,23/01/2022,09:00,"5,91"
538,23/01/2022,10:00,"5,44"
539,23/01/2022,11:00,"5,61"
540,23/01/2022,12:00,"5,43"
541,23/01/2022,13:00,"5,40"
542,23/01/2022,14:00,"5,40"
543,23/01/2022,15:00,"5,60"
