tempC,Q-Enginyeria (Cos Central) [kWh] [Q-Enginyeria],date,WindGustKmph,windspeedMiles,winddirDegree,visibility,cloudcover,time,weatherCode,DewPointC,HeatIndexC,precipMM,pressure,humidity,FeelsLikeC,WindChillC,Q-Enginyeria (Química) [kWh] [Q-Enginyeria],Q-Enginyeria (Espina 4) [kWh] [Q-Enginyeria],windspeedKmph,uvIndex
7,26.55,2022-01-01,19,4,337,10,0,0.0,113,-3,7,0.0,1032,66,6,6,71.38,1.63,6,1
6,26.78,2022-01-01,21,4,337,10,0,1.0,113,-4,6,0.0,1032,64,5,5,74.79,1.64,6,1
6,27.08,2022-01-01,21,4,338,10,0,2.0,113,-6,6,0.0,1032,62,4,4,70.65,1.63,6,1
5,26.79,2022-01-01,21,4,339,10,0,3.0,113,-7,5,0.0,1032,60,4,4,69.75,1.65,6,1
4,27.20,2022-01-01,21,4,342,10,0,4.0,113,-8,4,0.0,1032,58,3,3,69.62,1.64,6,1
4,27.03,2022-01-01,21,4,344,10,0,5.0,113,-10,4,0.0,1032,57,2,2,71.24,1.65,7,1
3,27.43,2022-01-01,20,4,347,10,0,6.0,113,-11,3,0.0,1031,55,1,1,72.71,1.61,7,2
2,26.48,2022-01-01,20,5,350,10,0,7.0,113,-10,2,0.0,1031,55,0,0,72.43,1.64,7,2
2,25.13,2022-01-01,16,5,353,10,0,8.0,113,-10,2,0.0,1031,55,0,0,70.70,1.50,8,2
2,25.91,2022-01-01,17,5,357,10,0,9.0,113,-10,2,0.0,1031,55,0,0,72.10,1.52,8,2
4,25.12,2022-01-01,16,5,238,10,0,10.0,113,-5,4,0.0,1030,65,2,2,72.30,1.51,8,2
6,26.07,2022-01-01,15,5,120,10,0,11.0,113,-1,6,0.0,1029,75,5,5,75.00,1.52,7,3
9,26.50,2022-01-01,14,4,2,10,0,12.0,113,3,9,0.0,1029,85,8,8,78.65,1.48,7,3
10,25.65,2022-01-01,14,4,2,10,1,13.0,113,6,10,0.0,1028,87,9,9,80.85,1.48,7,4
11,25.58,2022-01-01,14,4,2,10,2,14.0,113,6,11,0.0,1028,88,11,11,81.75,1.50,7,4
12,26.48,2022-01-01,13,4,1,10,3,15.0,113,7,12,0.0,1028,90,11,11,83.65,1.48,7,4
11,26.16,2022-01-01,14,4,2,10,6,16.0,113,6,11,0.0,1028,83,10,10,81.38,1.55,7,4
9,26.57,2022-01-01,15,4,2,10,9,17.0,113,3,9,0.0,1029,76,8,8,78.81,1.55,7,3
7,27.57,2022-01-01,15,4,2,10,12,18.0,113,1,7,0.0,1030,70,6,6,78.81,1.64,7,1
7,27.88,2022-01-01,14,4,121,10,10,19.0,113,-2,7,0.0,1031,67,5,5,75.80,1.66,7,1
6,27.76,2022-01-01,12,4,239,10,7,20.0,113,-3,6,0.0,1031,64,5,5,75.60,1.63,6,1
6,27.33,2022-01-01,11,3,358,10,4,21.0,113,-4,6,0.0,1032,61,5,5,75.00,1.65,5,1
5,28.27,2022-01-01,10,3,356,10,14,22.0,113,-4,5,0.0,1032,61,4,4,72.60,1.68,5,1
5,27.30,2022-01-01,10,3,353,10,23,23.0,113,-4,5,0.0,1032,61,4,4,72.29,1.61,5,1
