,date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex
0,2022-01-01,0,7,44,4,6,337,NNW,113,{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'},{'value': 'Clear'},0.0,0.0,66,10,6,1032,30,0,7,44,-3,27,6,43,12,19,6,43,1
0,2022-01-01,100,6,43,4,6,337,NNW,113,{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'},{'value': 'Clear'},0.0,0.0,64,10,6,1032,30,0,6,43,-4,24,5,41,13,21,5,41,1
0,2022-01-01,200,6,42,4,6,338,NNW,113,{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'},{'value': 'Clear'},0.0,0.0,62,10,6,1032,30,0,6,42,-6,22,4,40,13,21,4,40,1
0,2022-01-01,300,5,41,4,6,339,NNW,113,{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'},{'value': 'Clear'},0.0,0.0,60,10,6,1032,30,0,5,41,-7,19,4,39,13,21,4,39,1
0,2022-01-01,400,4,40,4,6,342,NNW,113,{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'},{'value': 'Clear'},0.0,0.0,58,10,6,1032,30,0,4,40,-8,17,3,37,13,21,3,37,1
0,2022-01-01,500,4,39,4,7,344,NNW,113,{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png'},{'value': 'Clear'},0.0,0.0,57,10,6,1032,30,0,4,39,-10,15,2,36,13,21,2,36,1
0,2022-01-01,600,3,37,4,7,347,NNW,113,{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png'},{'value': 'Sunny'},0.0,0.0,55,10,6,1031,30,0,3,37,-11,13,1,33,12,20,1,33,2
0,2022-01-01,700,2,36,5,7,350,N,113,{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png'},{'value': 'Sunny'},0.0,0.0,55,10,6,1031,30,0,2,36,-10,13,0,32,12,20,0,32,2
0,2022-01-01,800,2,36,5,8,353,N,113,{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png'},{'value': 'Sunny'},0.0,0.0,55,10,6,1031,30,0,2,36,-10,14,-0,32,10,16,-0,32,2
0,2022-01-01,900,2,36,5,8,357,N,113,{'value': 'https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0001_sunny.png'},{'value': 'Sunny'},0.0,0.0,55,10,6,1031,30,0,2,36,-10,15,-0,31,11,17,-0,31,2
